timestamp,class_name,confidence,action,reason,alert_level
2026-04-25T11:01:46,other,0.9990,CAUTION,Label 'Other' not in ruleset.,MEDIUM
2026-04-25T11:01:47,other,0.9938,CAUTION,Label 'Other' not in ruleset.,MEDIUM
2026-04-25T11:01:48,other,0.9978,CAUTION,Label 'Other' not in ruleset.,MEDIUM
2026-04-25T11:01:49,other,0.9976,CAUTION,Label 'Other' not in ruleset.,MEDIUM
2026-04-25T11:01:50,other,0.9896,CAUTION,Label 'Other' not in ruleset.,MEDIUM
2026-04-25T11:01:51,other,0.9766,CAUTION,Label 'Other' not in ruleset.,MEDIUM
2026-04-25T11:01:52,other,0.8123,CAUTION,Label 'Other' not in ruleset.,MEDIUM
2026-04-25T11:01:54,other,0.9923,CAUTION,Label 'Other' not in ruleset.,MEDIUM
2026-04-25T11:01:55,other,0.9893,CAUTION,Label 'Other' not in ruleset.,MEDIUM
2026-04-25T11:01:56,other,0.9976,CAUTION,Label 'Other' not in ruleset.,MEDIUM
